Job Title,professional level,Governorate,skills
 SOC,mid,Cairo,"burn suite, computer, computer science, cybersecurity, electrical, engineering, engineering - mechanical, engineering - telecom, ethical hacking, experienced, incident response, information technology (it), ism, it, management, miss, network, network security, security, software development, system integration, technology, vulnerability management"
.NET Developer,fresh,Cairo,".net, angular, apt, c#, computer engineering, computer science, engineering - telecom, english, entry level, html, information technology (it), it, javascript, mac, microsoft sal server, sal, software, software development, software engineering, technology"
.NET Developer,fresh,Giza,".net, ai, analytical skill, computer science, developer, engineering - telecom, entry level, information technology (it), it, javascript, sal, software development, technology"
.NET Developer,manager,Cairo,".net, async, azure, computer science, database design, dependency injection, desktop development, end, engineering - telecom, git, html, information technology (it), it, javascript, manager, net framework, node is, query, so, software development, technology, top"
.NET Developer,manager,Giza,".net, angular, arm, asp net, computer science, continuous integration, doctor container, engineering, entity framework, graphic design, information technology (it), it, manager, myself, progressive enhancement, rep, responsive web design, software, software development, software engineering"
.NET Developer,mid,Alexandria,".net, angular, apt, business logic, c, component service, computer science, crystal report, database, database design, design, engineering - other, entity framework, experienced, it, other, programming language, sal, software development, ve.net"
.NET Developer,mid,Cairo,".net, agile, angular, asp.net, computer science, engineering - telecom, entity framework, experienced, html, information technology (it), iss, it, javascript, mac, query, sal, software, software development, software engineering, technology, web development"
.NET Developer,mid,Dakahlia,".net, angular, apt, asp, asp.net, asp.net mac, c#, computer engineering, computer science, engineering - telecom, english, english language, experienced, html, information technology (it), interactive communication, it, javascript, software development, technology, version control"
.NET Developer,mid,Giza,".net, .net development, agile, angular, c#, computer science, development, engineering, engineering - telecom, english, experienced, information technology (it), it, javascript, mac, sal, software, software development, software engineering, technology, version control"
.NET Developer,mid,Riyadh,"analytical skill, axis, azure, computer science, development, engineering, engineering - telecom, enterprise integration, experienced, information technology, information technology (it), it, programming, restful, soap, software, software development, software engineering, system integration, technology"
.NET Developer,mid,Sharqia,"angular, apt, business requirement, computer science, control system, engineering - other, engineering - telecom, entity framework, experienced, html, information technology (it), iss, it, javascript, microsoft sal server, object orient programming, problem solve, programming, software, software development, technology, top"
